NodeId	BscFunctionId	BscMId	GeranCellMId	GeranCellId	GeranCellRelationId	awOffset	bqOffset	bqOffsetAfr	cand	cs	hiHyst	kHyst	kOffset	lHyst	lOffset	loHyst	offset	tRHyst	tROffset
TO3BSC1	1	1	1	T35M2	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T54M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T35MM3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T54MA3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T54MA1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M2	T35M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T54MA2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T35M2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T54M3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T54M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T54MP1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T54MA1	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T12MA1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T55M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T55MJ2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T54M1	T55MC2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T35M1	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T35M2	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T06MN2	3	5	5	BOTH	NO	5	3	0	3	0	5	0	2	0
TO3BSC1	1	1	1	T35M3	T35MM3	3	5	5	BOTH	YES	5	3	0	3	0	5	0	2	0
